,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019
kraken,1000,1000.9028922806256,1003.692246556686,1131.0262472833638,1157.2693036960527,1159.6623087075748,1156.413806306044,1147.788393258526,1170.5917147417058,1154.5801294042358,1156.4264799200055,1143.9304500247285,1153.0961886487025,1153.6921039916735
lair,1000,1000.8417508417508,999.83862482502,1023.5840317228643,1069.7094275552483,1145.8536261000772,1131.3657234822729,1109.1878324368677,1114.1696000607574,1094.269204647369,1108.2325356441713,1100.3227873375417,1047.9250058405657,1047.9250058405657
leech,1000,994.0329941152561,1005.6492856632547,997.4919802806976,1025.9129314975075,1042.7862984609783,1068.6487504809245,1080.4485814704292,1068.6358446480451,1055.3310951221488,1059.429212259561,1058.935698318193,1063.2245113154609,1063.2245113154609
leviathan,1000,1016.3159175950607,1044.6550641368303,1080.8161187355065,1084.6974115738187,1115.1593531546562,1103.6556360888949,1099.6391406620673,1121.469563920759,1123.1569762121346,1122.4820580017974,1113.0440004898107,1122.3892957824203,1123.259365003957
lhurgoyf,1000,988.289734010948,986.2682385326536,874.1144718245132,883.0237437836771,837.5322506499564,847.0901074931332,849.8621062226234,883.0598447469447,890.9275321934932,867.6769300401725,879.3140864347082,848.0609222631979,924.8250574680562
licid,1000,999.6507629486354,986.1049649310601,981.1663245049028,1008.010524614237,1038.4576145801002,1050.8799485695986,1062.3241904337565,1067.6608190175266,1068.7482513331927,1058.0607688198606,1050.7551111303903,1048.2872306558656,1048.2872306558656
liliana,1000,1002.2582467428813,1006.3968086718297,999.8826787420268,1024.4136828522887,1051.4332413309826,1058.6852926009817,1067.6327242832983,1082.7446757772173,1089.1623368875419,1084.408158565057,1076.6600100442547,1077.537336658131,1077.537336658131
lizard,1000,1018.1441137550804,1008.7697394056884,1032.71170008102,1041.4569929028285,1075.175203100438,1091.887698097935,1101.4827483766346,1108.3779844396029,1109.4360377488679,1111.4893900190516,1125.6452789639443,1126.4406230654683,1126.4406230654683
locus,1000,1006.3329382245256,1011.6140140876739,1015.7072450126983,1010.7465480548652,1025.6598514164814,1034.0750220039242,1043.6144445505593,1049.4303158160637,1025.418472987917,1146.562821604319,1156.2853002384352,1178.0310420453702,1181.8278207780634
manticore,1000,999.6480855855856,1000.75180834938,1015.0232398486237,1047.542300603468,1078.7044262174988,1132.3885916952013,1144.4326370235385,1151.6563003698304,1159.5144859511129,1164.3244760692762,1162.2866452902479,1171.5159328876355,1171.5159328876355
masticore,1000,1005.0827205882354,1005.3755768588032,1011.3777699630497,1019.968171164251,1044.4896081638703,1034.981418134802,1032.191841412569,1028.9743561801224,1021.1624160811994,1003.641266266085,992.5764159488341,1011.014621010637,1011.014621010637
mercenary,1000,990.597088629337,994.0547429309884,992.9010748310924,1027.249506825867,1070.8167744157145,1101.500779960899,1110.6166857902738,1118.934181252818,1105.9835831597484,1106.5061274866134,1104.5952205230265,1104.3381258734737,1104.3381258734737
merfolk,1000,994.8246612223584,1001.6605565801738,1002.0783946851544,1012.6609917915832,1035.0118609103213,1040.3037040444763,1052.576128495764,1051.447055233058,1054.4806667370954,1044.0209652013446,1047.702517024677,1053.097709010449,1053.8434852968155
metathran,1000,972.9710144927536,991.6734321626371,997.3401374892807,1021.0143730761476,1080.527553200496,1123.0765091666046,1135.5551370462335,1135.5551370462335,1133.0648845527112,1140.3844251505968,1140.3844251505968,1133.8107805945908,1133.8107805945908
mine,1000,1008.3645597404633,1001.9025033229624,1003.2846689691228,1020.4912545251744,1025.0846550651263,1032.5077891751598,1033.075050258884,1034.7594269879464,1037.262826980858,1033.6552617757686,1030.5234146819716,1029.4790669710878,1030.217927545469
minion,1000,1000.5395243524033,985.663139302544,988.2010194748295,994.925246038682,1021.4198432930403,1044.8340302132467,1053.087713515654,1065.229231957214,1063.1899534744282,1068.191533406298,1059.413260213568,1071.2051902832334,1071.2051902832334
minotaur,1000,1007.4689023629628,1012.797108238488,1016.4235074279352,1034.5916090032963,1049.286506762661,1067.231679266238,1070.5786781675101,1096.359155985934,1083.1390917189242,1071.202187941063,1073.4762131188415,1074.098648067808,1074.098648067808
monger,1000,989.2361111111113,990.059491396398,983.5067480264502,1000.2669071774684,1028.232242206874,1065.417180857335,1069.802884697831,1075.3747747222988,1074.0169782895684,1069.674041637236,1064.32567142905,1066.9125741026623,1066.9125741026623
monk,1000,998.8668838252637,1005.3533989590387,1010.2251263924768,1034.8724662503903,1067.4578331481966,1089.3505431045419,1092.4087775539756,1103.9962873819334,1098.8246482724617,1113.5839970475934,1120.8477766321305,1120.7281399989172,1120.7281399989172
mountain,1000,1004.7107195069952,1004.9681758650532,1013.7592740520944,1029.8971171641492,1048.6747735562346,1068.4694086496072,1072.6301270078388,1087.1972919763393,1084.0666403654473,1083.145003263089,1082.3896035797259,1082.6418148212867,1082.3348317514865
mutant,1000,1006.0109711928476,994.6524271918672,1013.3091539030175,1023.9337093173976,1037.4129154139653,1056.4685872625882,1073.346110824465,1070.1937062793104,1068.7747491128428,1084.097971382656,1057.9188071555561,1070.995361119048,1070.995361119048
myr,1000,1000.526086439516,1001.6140490303236,1002.1567319743384,1015.1804010957327,1034.1065746144664,1039.4974520751234,1042.9333295956314,1060.726751985302,1067.2331372003182,1067.3778948334823,1064.8102848540132,1069.761375163539,1069.761375163539
mystic,1000,998.2777230910484,1007.765766665828,1017.3631756425704,1038.2349407749468,1054.9658513140919,1073.638515512248,1087.5622266988107,1090.6945778270922,1083.7157595252054,1076.6698940415476,1051.5882340093722,1069.7940712234997,1069.2782592315887
naga,1000,993.3510638297873,1030.9374322493882,1006.3388539158024,1026.731990326834,1115.8888733051626,1060.7791109475777,1064.0711354346358,1063.1053297130584,1062.890080338969,1037.2971248520837,1022.8903133588344,1019.4309363043717,1019.4309363043717
nahiri,1000,1000.286123032904,1005.4906192519924,1014.4012188086044,1022.3399800259656,1016.8163482657519,1025.2898178346331,1019.1738390223204,1020.1210053938223,1031.5043299175302,1020.7184242962126,1024.1736065505297,1025.7324079007435,1025.7324079007435
nephilim,1000,984.66965729884,990.3307892131523,986.4512639956058,995.2839645587841,1010.7687006201655,1019.762166717984,1019.2607880947555,1024.757530058524,1013.8398733616963,1018.9350521043277,1013.3270827033392,1013.5196534937677,1013.5196534937677
nightmare,1000,979.3315202382615,983.4151075071665,990.346558118768,998.8062036024652,1026.92656582607,1059.0381035265232,1042.3704602556197,1055.739553182395,1060.0270050209863,1055.0525906116334,1053.3871262137563,1061.5543637090461,1061.5543637090461
nightstalker,1000,1015.6395408839908,990.3452967379732,1006.4644132368327,1018.0585236803515,1014.04809009955,1039.5205612099614,1047.2161849419667,1049.7446747245226,1033.889398014287,1043.5495724701836,1034.060841259604,1045.462126826899,1045.462126826899
ninja,1000,998.3127966905968,1033.4031247588698,1102.603234431098,1326.1770108792896,1580.4891367121368,1420.1871013526857,1433.6496782746844,1454.099637756182,1472.1966977714724,1451.2459341418494,1443.3768150939602,1462.9042042299002,1460.0130892017778
nissa,1000,1009.8824607265253,994.6834613375968,995.749778394984,1028.390895074263,1077.6571969728902,1085.862859940763,1083.265944038417,1096.9600897369082,1094.2794336443646,1096.685062540543,1098.6076890021077,1121.753596527289,1118.7081116498393
nixilis,1000,1000.9866374475622,1002.3016013819824,1005.91489298411,1011.1374750693996,1013.6576452529781,1018.7401621000473,1017.7541879254793,1041.3707607598583,1048.9866429443782,1040.8321806957763,1037.0852240973688,1090.486118675179,1093.058886734069
noggle,1000,1000.0,1010.4166666666667,1017.7385265700484,1040.2264359323917,1077.0585512825412,1104.7329723918842,1124.3314098106011,1124.3314098106011,1124.3314098106011,1134.741885827366,1134.741885827366,1115.6384870760637,1115.6384870760637
nomad,1000,1008.8766873583604,1004.7675542258348,1001.8918326047853,1020.7498352455127,1035.258281060454,1045.5124775593463,1043.6510434802576,1053.2318746540905,1072.2127579429468,1066.9329601408501,1072.013593284378,1079.3369794927762,1079.3369794927762
octopus,1000,1003.724536333232,1010.6843639452333,1025.5392028109118,1061.2815892173246,1077.9893155516388,1075.762428873741,1084.7216763074505,1089.7795069952426,1094.8565691385247,1100.7287015831114,1085.52400416315,1100.3211141310271,1101.7833348807028
ogre,1000,997.1944544355152,1003.6008667036881,1009.6248925299273,1023.5893872028984,1061.4104636095403,1088.0113381022397,1093.431842212168,1103.4110131744878,1098.4507130834481,1105.9049287245537,1097.427025296047,1110.373635585298,1113.0216464443552
ooze,1000,999.1744922257092,1000.6277609693144,1006.4621873021154,1026.2183426999673,1050.3339623152513,1072.646138372684,1088.5510727322992,1095.3192486204955,1089.7370507426629,1074.3563746280338,1073.3946605656945,1086.6306213015669,1085.4041458119368
orb,1000,1002.5920071458003,1007.6052306798716,1006.5431385880472,1055.7464735908363,1085.0132763837696,1131.5531798143618,1154.9683510282546,1173.601545249752,1191.2519734180541,1180.8180062677254,1169.3742243609481,1183.2689279275348,1183.2689279275348
orc,1000,1002.1905032677645,1006.1378837149347,1011.0702687292543,1029.5716966189516,1058.6913748414106,1075.9451523519224,1082.4777688687257,1117.4055772935474,1117.937798549215,1114.527578778905,1117.7051997663398,1122.3506977654918,1121.9684318776137
orgg,1000,980.7707372924764,988.904721078634,987.002981230406,1020.9775207870233,1047.1028685876063,1075.301165136413,1058.7580702881603,1048.020985878306,1041.9311342036076,1060.708483912155,1060.708483912155,1071.587545285613,1071.587545285613
ox,1000,990.1011214523752,1003.3583639628024,1012.6145031972404,1029.1586304610264,1058.0184463106511,1074.436305511953,1073.373670516366,1094.8946309090093,1086.0805302191593,1076.42963465644,1072.5555486033172,1075.9294942358426,1075.1295279530113
pegasus,1000,1004.4792267773636,1012.054998723504,998.1198296713874,1044.3235010276237,1069.5241823142055,1083.632239433125,1094.6423470602865,1103.7549171757132,1104.97667621045,1100.3639901695121,1095.278765688111,1481.409208789946,1487.2878167613346
pentavite,1000,1005.0505050505052,985.0862002822787,1000.4388567801327,1041.0277139972852,1080.5137317372612,1105.7125257252726,1086.1633290429677,1082.5976413466144,1067.8039027189334,1067.8039027189334,1072.6138302086586,1102.642392903574,1102.642392903574
