,28/04/2019,05/05/2019,12/05/2019,19/05/2019,26/05/2019,02/06/2019,09/06/2019,16/06/2019,23/06/2019,30/06/2019,07/07/2019,14/07/2019,21/07/2019,28/07/2019,04/08/2019
dragon,,-0.0015439146000000292,0.0037370542926833394,0.008578960638867317,0.01630257417250247,0.021326693790476803,0.011674469325552161,0.0011244501047729116,0.00992790074838723,-0.004308094101341808,-0.00594768524787892,0.0007532692804785857,0.0038234511814294603,-0.001162867257066491,0.0
drake,,-0.0028171645000000245,0.003473029595684407,0.005986391306318506,0.014815680109462326,0.038386119007339126,0.025679606238786068,0.011002699826323958,0.00996265398537588,-0.00011678918619972833,-0.01126734026063736,-0.0008600241313617696,0.0019834468692623286,0.0004190476190475412,0.0
drone,,-0.005494505499999969,0.022663711386865515,0.009386447014304355,0.013529732318470433,0.010256410167694074,0.05943941715425094,-0.005059075659358925,0.026725650435905912,0.019909502175733396,-0.022938662551434952,0.004273504367746872,-0.006255656180137681,0.0,0.0
druid,,0.008888656999999967,0.0021543616185191183,0.0012801517463167933,0.011352219515252004,0.014840904650845532,0.02007324389848475,0.01323453667855956,0.01291026286075514,0.0005814406993644994,-0.0036706249736154772,-0.004047848820496802,0.005241228618928506,0.0017316017316018062,0.0
dryad,,0.004984907000000094,-0.0007895223047365008,-0.0008873049067359418,0.01870993227178186,0.04169834072020295,0.030840099692829304,0.006823325432138372,0.004592451749561244,-0.008326305266339262,-0.002915731534063548,-0.005509242334725051,0.02568923726400696,-0.0020790020790021346,0.0
dwarf,,-0.0004870130000000916,0.007568559987104928,0.004497188524731133,0.015043290334284753,0.027954943892004813,0.029768270687206,-0.004119092239103339,0.012652788419620142,-0.01321054087821627,0.004101105933727256,0.013703209051582288,0.0013454573974183148,0.0,0.0
efreet,,-0.0008800449999999405,0.00011857985560914663,-0.003843145722566499,0.010445657103690165,0.011103009179397993,-0.0009220992823377738,0.006432208168996478,0.008741143628493875,-0.0003548078865135418,-0.005472708764015066,0.0026856956684395694,-0.005505026294168824,0.0029257927427264185,0.0
egg,,-0.0013884397000000215,0.004682864575085821,0.004685103739656915,0.020371174279876447,0.02590246413695052,0.003574881651385642,0.004970858064962336,0.006670826250129602,-0.002108222682670302,0.004490118920333019,0.009769024501678603,0.005365979968684043,0.0,0.0
elder,,0.008118837000000045,0.005926790355173184,-0.013714529899092831,0.00888750657256554,0.040341201130398296,0.016211813239347173,0.0012618029680753207,0.010765607325062598,-0.002521157360443005,-0.00994958930515788,-0.013526995750612447,0.002241039127424793,0.0,0.0
eldrazi,,-0.002508463799999916,0.014234153659177684,-0.004866563945343905,0.011695644073507205,0.029300735884829177,0.02312889494734005,0.005334025998746883,0.02050256890827984,0.03749916487485705,-0.0027095681287557793,0.014779550069162761,0.026229768939044495,0.000570628391387995,0.0
elemental,,-0.00039586210000008837,0.0067165329208267455,0.0034262906545292626,0.015271297274383366,0.022462596377084365,0.009092778121548628,0.0090384815836273,0.011270449359789492,0.007210577277512398,0.0283304308639587,0.010552320235929447,0.014849903637748296,0.0015167814791117173,0.0
elephant,,-0.0018944964999999536,0.021311374825015994,-0.0013334288113039383,0.02314238022755366,0.003588210479924525,0.008387876945404882,0.014839033277774583,-0.00011962437044654717,0.09826714842871365,-0.0028631449015875665,0.0015278284741813142,-0.01222759514305971,-0.0006253908692930299,0.0
