card_desc,nf_shinv,nf_upeur,f_shinv,f_upeur
/en/Magic/Products/Singles/Guilds-of-Ravnica/Righteous-Blow,14751,0.01,487,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Hellkite-Whelp,9824,0.01,306,0.06
/en/Magic/Products/Singles/Guilds-of-Ravnica/Vernadi-Shieldmate,14487,0.01,443,0.03
/en/Magic/Products/Singles/Guilds-of-Ravnica/Kraul-Swarm,9364,0.01,337,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Muse-Drake,14685,0.01,476,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Veiled-Shade,14326,0.01,495,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ironshell-Beetle,14500,0.01,491,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Moodmark-Painter,14290,0.01,472,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Blade-Instructor,15099,0.01,449,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Hammer-Dropper,14900,0.01,467,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Child-of-Night,14603,0.01,494,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Silent-Dart,9197,0.01,326,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Undercity-Necrolisk,9412,0.01,329,0.06
/en/Magic/Products/Singles/Guilds-of-Ravnica/Roc-Charger,9547,0.01,309,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Bartizan-Bats,14406,0.01,444,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Spinal-Centipede,14679,0.01,477,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Centaur-Peacemaker,14580,0.01,435,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Garrison-Sergeant,14636,0.01,460,0.04
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ledev-Guardian,14672,0.01,458,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Sure-Strike,14447,0.01,454,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Book-Devourer,9343,0.01,312,0.03
/en/Magic/Products/Singles/Guilds-of-Ravnica/Ornery-Goblin,14610,0.01,446,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Street-Riot,9244,0.01,320,0.08
/en/Magic/Products/Singles/Guilds-of-Ravnica/Hitchclaw-Recluse,14380,0.01,460,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Wary-Okapi,14405,0.01,450,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Capture-Sphere,14483,0.01,496,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Command-the-Storm,14734,0.01,481,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Skyline-Scout,14728,0.01,495,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Tenth-District-Guard,14710,0.01,474,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Passwall-Adept,14430,0.01,454,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Collar-the-Culprit,14723,0.01,480,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Goblin-Locksmith,14598,0.01,456,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Pack-s-Favor,14503,0.01,488,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Barging-Sergeant,14786,0.01,462,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Leapfrog,14620,0.01,464,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Wishcoin-Crab,14481,0.01,460,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Intrusive-Packbeast,14544,0.01,488,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Maniacal-Rage,14542,0.01,472,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Rubblebelt-Boar,14428,0.01,490,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Wild-Ceratok,14437,0.01,469,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Douser-of-Lights,14474,0.01,464,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Devkarin-Dissident,14693,0.01,460,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Vedalken-Mesmerist,14617,0.01,479,0.02
/en/Magic/Products/Singles/Guilds-of-Ravnica/Fearless-Halberdier,14694,0.01,491,0.02
